param number_of_vehicles := 4;

param n := 22;

param capacity := 6000;

param entry_type := COORD;

param locations := 
0 0 145.0
0 1 215.0
1 0 151.0
1 1 264.0
2 0 159.0
2 1 261.0
3 0 130.0
3 1 254.0
4 0 128.0
4 1 252.0
5 0 163.0
5 1 247.0
6 0 146.0
6 1 246.0
7 0 161.0
7 1 242.0
8 0 142.0
8 1 239.0
9 0 163.0
9 1 236.0
10 0 148.0
10 1 232.0
11 0 128.0
11 1 231.0
12 0 156.0
12 1 217.0
13 0 129.0
13 1 214.0
14 0 146.0
14 1 208.0
15 0 164.0
15 1 208.0
16 0 141.0
16 1 206.0
17 0 147.0
17 1 193.0
18 0 164.0
18 1 193.0
19 0 129.0
19 1 189.0
20 0 155.0
20 1 185.0
21 0 139.0
21 1 182.0
;

param costs := 
0 0 0.0
0 1 49.36598018878993
0 2 48.08326112068523
0 3 41.78516483155236
0 4 40.718546143004666
0 5 36.71511950137164
0 6 31.016124838541646
0 7 31.38470965295043
0 8 24.186773244895647
0 9 27.65863337187866
0 10 17.26267650163207
0 11 23.345235059857504
0 12 11.180339887498949
0 13 16.0312195418814
0 14 7.0710678118654755
0 15 20.248456731316587
0 16 9.848857801796104
0 17 22.090722034374522
0 18 29.068883707497267
0 19 30.528675044947494
0 20 31.622776601683793
0 21 33.54101966249684
1 0 49.36598018878993
1 1 0.0
1 2 8.54400374531753
1 3 23.259406699226016
1 4 25.942243542145693
1 5 20.808652046684813
1 6 18.681541692269406
1 7 24.166091947189145
1 8 26.570660511172846
1 9 30.463092423455635
1 10 32.14031735997639
1 11 40.22437072223753
1 12 47.265209192385896
1 13 54.62600113499065
1 14 56.22277118748239
1 15 57.48912940721924
1 16 58.855755878248644
1 17 71.11258679024411
1 18 72.18032973047436
1 19 78.16009211867653
1 20 79.1012010022604
1 21 82.87339742040264
2 0 48.08326112068523
2 1 8.54400374531753
2 2 0.0
2 3 29.832867780352597
2 4 32.28002478313795
2 5 14.560219778561036
2 6 19.849433241279208
2 7 19.1049731745428
2 8 27.80287754891569
2 9 25.317977802344327
2 10 31.016124838541646
2 11 43.139309220245984
2 12 44.10215414239989
2 13 55.758407437802596
2 14 54.57105459856901
2 15 53.23532661682466
2 16 57.87054518492115
2 17 69.05070600652827
2 18 68.18357573492314
2 19 78.0
2 20 76.10519036176179
2 21 81.49233092751734
3 0 41.78516483155236
3 1 23.259406699226016
3 2 29.832867780352597
3 3 0.0
3 4 2.8284271247461903
3 5 33.734255586866
3 6 17.88854381999832
3 7 33.24154027718932
3 8 19.209372712298546
3 9 37.589892258425
3 10 28.42534080710379
3 11 23.08679276123039
3 12 45.221676218380054
3 13 40.01249804748511
3 14 48.703182647543684
3 15 57.201398584300364
3 16 49.24428900898052
3 17 63.324560795950255
3 18 69.83552104767315
3 19 65.00769185258002
3 20 73.38937252763509
3 21 72.56031973468694
4 0 40.718546143004666
4 1 25.942243542145693
4 2 32.28002478313795
4 3 2.8284271247461903
4 4 0.0
4 5 35.35533905932738
4 6 18.973665961010276
4 7 34.48187929913333
4 8 19.1049731745428
4 9 38.48376280978771
4 10 28.284271247461902
4 11 21.0
4 12 44.82186966202994
4 13 38.01315561749642
4 14 47.53945729601885
4 15 56.85068161420758
4 16 47.80167361086848
4 17 61.98386886924694
4 18 69.1158447825099
4 19 63.00793600809346
4 20 72.2357252334328
4 21 70.8590149522275
5 0 36.71511950137164
5 1 20.808652046684813
5 2 14.560219778561036
5 3 33.734255586866
5 4 35.35533905932738
5 5 0.0
5 6 17.029386365926403
5 7 5.385164807134504
5 8 22.47220505424423
5 9 11.0
5 10 21.213203435596427
5 11 38.48376280978771
5 12 30.805843601498726
5 13 47.38143096192854
5 14 42.5440947723653
5 15 39.01281840626232
5 16 46.52956049652737
5 17 56.32051136131489
5 18 54.00925846556311
5 19 67.23094525588644
5 20 62.51399843235114
5 21 69.28924880528002
6 0 31.016124838541646
6 1 18.681541692269406
6 2 19.849433241279208
6 3 17.88854381999832
6 4 18.973665961010276
6 5 17.029386365926403
6 6 0.0
6 7 15.524174696260024
6 8 8.06225774829855
6 9 19.72308292331602
6 10 14.142135623730951
6 11 23.430749027719962
6 12 30.675723300355934
6 13 36.235341863986875
6 14 38.0
6 15 42.04759208325728
6 16 40.311288741492746
6 17 53.009433122794285
6 18 55.97320787662612
6 19 59.481089431852205
6 20 61.66036003787198
6 21 64.38167441127949
7 0 31.38470965295043
7 1 24.166091947189145
7 2 19.1049731745428
7 3 33.24154027718932
7 4 34.48187929913333
7 5 5.385164807134504
7 6 15.524174696260024
7 7 0.0
7 8 19.235384061671343
7 9 6.324555320336759
7 10 16.401219466856727
7 11 34.785054261852174
7 12 25.495097567963924
7 13 42.5205832509386
7 14 37.16180835212409
7 15 34.132096331752024
7 16 41.182520563948
7 17 50.96076922496363
7 18 49.09175083453431
7 19 61.91122676865643
7 20 57.3149195236284
7 21 63.90618123468183
8 0 24.186773244895647
8 1 26.570660511172846
8 2 27.80287754891569
8 3 19.209372712298546
8 4 19.1049731745428
8 5 22.47220505424423
8 6 8.06225774829855
8 7 19.235384061671343
8 8 0.0
8 9 21.213203435596427
8 10 9.219544457292887
8 11 16.1245154965971
8 12 26.076809620810597
8 13 28.178005607210743
8 14 31.25699921617557
8 15 38.01315561749642
8 16 33.015148038438355
8 17 46.2709412050371
8 18 50.99019513592785
8 19 51.66236541235796
8 20 55.54277630799526
8 21 57.07889277132134
9 0 27.65863337187866
9 1 30.463092423455635
9 2 25.317977802344327
9 3 37.589892258425
9 4 38.48376280978771
9 5 11.0
9 6 19.72308292331602
9 7 6.324555320336759
9 8 21.213203435596427
9 9 0.0
9 10 15.524174696260024
9 11 35.35533905932738
9 12 20.248456731316587
9 13 40.496913462633174
9 14 32.7566787083184
9 15 28.0178514522438
9 16 37.20215047547655
9 17 45.880278987817846
9 18 43.01162633521314
9 19 58.008620049092706
9 20 51.62363799656123
9 21 59.09314681077663
10 0 17.26267650163207
10 1 32.14031735997639
10 2 31.016124838541646
10 3 28.42534080710379
10 4 28.284271247461902
10 5 21.213203435596427
10 6 14.142135623730951
10 7 16.401219466856727
